client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22986631.mp3	Mitä nyt tekisimme?	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22986632.mp3	Äänestämme tämän vuoksi toisin kuin maatalouden valiokunta on asian osalta esittänyt.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22986633.mp3	Rupeatko remmiin, vai et?	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22986634.mp3	Äänestin näin ollen mietinnön puolesta.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22986635.mp3	Kiitos, että tulitte ja opetitte meille viisautenne.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987456.mp3	Katsahdin ylös.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987458.mp3	Tämä on hyvin tärkeä tehtävä.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987462.mp3	Osakeyhtiön osakkaat rahoittavat laitoksen rakentamisen ja ylläpidon	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987463.mp3	Äänestän päätöslauselman puolesta, vaikka siinä ei mennäkään riittävän pitkälle.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987508.mp3	Diego kaatui maahan, muttei hän vaikuttanut kuolleelta.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987509.mp3	Hienoa, että asia on pian hoidossa, ja me muut voimme jatkaa normaalia elämäämme.	2	1	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987510.mp3	Kirjaimet olivat mitä erikoisemman näköisiä.	2	0	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987511.mp3	Valtioneuvosto on antanut kaksi käyttöönottoasetusta.	2	1	thirties	male		fi	
4eeeb22a3bbb52e5215593a09a845f0f8c496e0a7c498c6d1e9e5e0f8730f79bf16b2b30483dfcc771d430918f27e3ce8b546d068017302109c5c76ca75b0944	common_voice_fi_22987513.mp3	Äänestin kollegoideni tavoin päätöslauselman näitä kohtia vastaan.	2	0	thirties	male		fi	
